"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02402V02895","Type of Building and Construction","UNIT","VALUE"
"BEQ04C01","Value of Production Index in Building and Construction","20001","2000Q1","-","All building and construction","Base 2015=100","143.514977427572"
"BEQ04C01","Value of Production Index in Building and Construction","20001","2000Q1","11","Building (excluding civil engineering)","Base 2015=100","182.795802254117"
"BEQ04C01","Value of Production Index in Building and Construction","20001","2000Q1","111","Residential building","Base 2015=100","279.281551222912"
"BEQ04C01","Value of Production Index in Building and Construction","20001","2000Q1","112","Non-residential building","Base 2015=100","115.359508444902"
"BEQ04C01","Value of Production Index in Building and Construction","20001","2000Q1","12","Civil engineering","Base 2015=100","60.4388869219421"
"BEQ04C01","Value of Production Index in Building and Construction","20002","2000Q2","-","All building and construction","Base 2015=100","153.542078417604"
"BEQ04C01","Value of Production Index in Building and Construction","20002","2000Q2","11","Building (excluding civil engineering)","Base 2015=100","196.823792013697"
"BEQ04C01","Value of Production Index in Building and Construction","20002","2000Q2","111","Residential building","Base 2015=100","306.710989289448"
"BEQ04C01","Value of Production Index in Building and Construction","20002","2000Q2","112","Non-residential building","Base 2015=100","119.799136019842"
"BEQ04C01","Value of Production Index in Building and Construction","20002","2000Q2","12","Civil engineering","Base 2015=100","62.7648863353802"
"BEQ04C01","Value of Production Index in Building and Construction","20003","2000Q3","-","All building and construction","Base 2015=100","162.663797696119"
"BEQ04C01","Value of Production Index in Building and Construction","20003","2000Q3","11","Building (excluding civil engineering)","Base 2015=100","209.384591799189"
"BEQ04C01","Value of Production Index in Building and Construction","20003","2000Q3","111","Residential building","Base 2015=100","330.40004943782"
"BEQ04C01","Value of Production Index in Building and Construction","20003","2000Q3","112","Non-residential building","Base 2015=100","124.415782182151"
"BEQ04C01","Value of Production Index in Building and Construction","20003","2000Q3","12","Civil engineering","Base 2015=100","65.1836289177972"
"BEQ04C01","Value of Production Index in Building and Construction","20004","2000Q4","-","All building and construction","Base 2015=100","163.688031688225"
"BEQ04C01","Value of Production Index in Building and Construction","20004","2000Q4","11","Building (excluding civil engineering)","Base 2015=100","210.372835031086"
"BEQ04C01","Value of Production Index in Building and Construction","20004","2000Q4","111","Residential building","Base 2015=100","330.40004943782"
"BEQ04C01","Value of Production Index in Building and Construction","20004","2000Q4","112","Non-residential building","Base 2015=100","126.150564896943"
"BEQ04C01","Value of Production Index in Building and Construction","20004","2000Q4","12","Civil engineering","Base 2015=100","66.0925122664424"
"BEQ04C01","Value of Production Index in Building and Construction","20011","2001Q1","-","All building and construction","Base 2015=100","167.381045922143"
"BEQ04C01","Value of Production Index in Building and Construction","20011","2001Q1","11","Building (excluding civil engineering)","Base 2015=100","209.547935300614"
"BEQ04C01","Value of Production Index in Building and Construction","20011","2001Q1","111","Residential building","Base 2015=100","332.224641008193"
"BEQ04C01","Value of Production Index in Building and Construction","20011","2001Q1","112","Non-residential building","Base 2015=100","123.359796621535"
"BEQ04C01","Value of Production Index in Building and Construction","20011","2001Q1","12","Civil engineering","Base 2015=100","75.9941511641423"
"BEQ04C01","Value of Production Index in Building and Construction","20012","2001Q2","-","All building and construction","Base 2015=100","178.852154835777"
"BEQ04C01","Value of Production Index in Building and Construction","20012","2001Q2","11","Building (excluding civil engineering)","Base 2015=100","226.467716398974"
"BEQ04C01","Value of Production Index in Building and Construction","20012","2001Q2","111","Residential building","Base 2015=100","369.617890714295"
"BEQ04C01","Value of Production Index in Building and Construction","20012","2001Q2","112","Non-residential building","Base 2015=100","125.543338713115"
"BEQ04C01","Value of Production Index in Building and Construction","20012","2001Q2","12","Civil engineering","Base 2015=100","77.3392929928335"
"BEQ04C01","Value of Production Index in Building and Construction","20013","2001Q3","-","All building and construction","Base 2015=100","178.185832197097"
"BEQ04C01","Value of Production Index in Building and Construction","20013","2001Q3","11","Building (excluding civil engineering)","Base 2015=100","224.606755902268"
"BEQ04C01","Value of Production Index in Building and Construction","20013","2001Q3","111","Residential building","Base 2015=100","362.42688107151"
"BEQ04C01","Value of Production Index in Building and Construction","20013","2001Q3","112","Non-residential building","Base 2015=100","127.568453462809"
"BEQ04C01","Value of Production Index in Building and Construction","20013","2001Q3","12","Civil engineering","Base 2015=100","78.5868378298977"
"BEQ04C01","Value of Production Index in Building and Construction","20014","2001Q4","-","All building and construction","Base 2015=100","181.92127049663"
"BEQ04C01","Value of Production Index in Building and Construction","20014","2001Q4","11","Building (excluding civil engineering)","Base 2015=100","229.999077901212"
"BEQ04C01","Value of Production Index in Building and Construction","20014","2001Q4","111","Residential building","Base 2015=100","373.932496437626"
"BEQ04C01","Value of Production Index in Building and Construction","20014","2001Q4","112","Non-residential building","Base 2015=100","128.567234462583"
"BEQ04C01","Value of Production Index in Building and Construction","20014","2001Q4","12","Civil engineering","Base 2015=100","79.2021235659531"
"BEQ04C01","Value of Production Index in Building and Construction","20021","2002Q1","-","All building and construction","Base 2015=100","174.135875231309"
"BEQ04C01","Value of Production Index in Building and Construction","20021","2002Q1","11","Building (excluding civil engineering)","Base 2015=100","207.80954408193"
"BEQ04C01","Value of Production Index in Building and Construction","20021","2002Q1","111","Residential building","Base 2015=100","339.824989817887"
"BEQ04C01","Value of Production Index in Building and Construction","20021","2002Q1","112","Non-residential building","Base 2015=100","114.71507074804"
"BEQ04C01","Value of Production Index in Building and Construction","20021","2002Q1","12","Civil engineering","Base 2015=100","94.451655957043"
"BEQ04C01","Value of Production Index in Building and Construction","20022","2002Q2","-","All building and construction","Base 2015=100","180.108692642037"
"BEQ04C01","Value of Production Index in Building and Construction","20022","2002Q2","11","Building (excluding civil engineering)","Base 2015=100","217.042843489989"
"BEQ04C01","Value of Production Index in Building and Construction","20022","2002Q2","111","Residential building","Base 2015=100","361.749182880295"
"BEQ04C01","Value of Production Index in Building and Construction","20022","2002Q2","112","Non-residential building","Base 2015=100","114.789324013223"
"BEQ04C01","Value of Production Index in Building and Construction","20022","2002Q2","12","Civil engineering","Base 2015=100","94.5127930387482"
"BEQ04C01","Value of Production Index in Building and Construction","20023","2002Q3","-","All building and construction","Base 2015=100","199.692913988463"
"BEQ04C01","Value of Production Index in Building and Construction","20023","2002Q3","11","Building (excluding civil engineering)","Base 2015=100","245.742968606831"
"BEQ04C01","Value of Production Index in Building and Construction","20023","2002Q3","111","Residential building","Base 2015=100","425.955747809799"
"BEQ04C01","Value of Production Index in Building and Construction","20023","2002Q3","112","Non-residential building","Base 2015=100","117.920335723626"
"BEQ04C01","Value of Production Index in Building and Construction","20023","2002Q3","12","Civil engineering","Base 2015=100","97.0907388918396"
"BEQ04C01","Value of Production Index in Building and Construction","20024","2002Q4","-","All building and construction","Base 2015=100","200.871352064674"
"BEQ04C01","Value of Production Index in Building and Construction","20024","2002Q4","11","Building (excluding civil engineering)","Base 2015=100","249.24659372488"
"BEQ04C01","Value of Production Index in Building and Construction","20024","2002Q4","111","Residential building","Base 2015=100","438.483857819477"
"BEQ04C01","Value of Production Index in Building and Construction","20024","2002Q4","112","Non-residential building","Base 2015=100","114.851201734208"
"BEQ04C01","Value of Production Index in Building and Construction","20024","2002Q4","12","Civil engineering","Base 2015=100","94.5637405538192"
"BEQ04C01","Value of Production Index in Building and Construction","20031","2003Q1","-","All building and construction","Base 2015=100","186.121145298732"
"BEQ04C01","Value of Production Index in Building and Construction","20031","2003Q1","11","Building (excluding civil engineering)","Base 2015=100","225.524788451493"
"BEQ04C01","Value of Production Index in Building and Construction","20031","2003Q1","111","Residential building","Base 2015=100","397.631705478083"
"BEQ04C01","Value of Production Index in Building and Construction","20031","2003Q1","112","Non-residential building","Base 2015=100","103.272660239551"
"BEQ04C01","Value of Production Index in Building and Construction","20031","2003Q1","12","Civil engineering","Base 2015=100","95.8011121745837"
"BEQ04C01","Value of Production Index in Building and Construction","20032","2003Q2","-","All building and construction","Base 2015=100","198.679281687862"
"BEQ04C01","Value of Production Index in Building and Construction","20032","2003Q2","11","Building (excluding civil engineering)","Base 2015=100","244.291054128083"
"BEQ04C01","Value of Production Index in Building and Construction","20032","2003Q2","111","Residential building","Base 2015=100","440.777215369425"
"BEQ04C01","Value of Production Index in Building and Construction","20032","2003Q2","112","Non-residential building","Base 2015=100","104.464456329272"
"BEQ04C01","Value of Production Index in Building and Construction","20032","2003Q2","12","Civil engineering","Base 2015=100","96.9066843851203"
"BEQ04C01","Value of Production Index in Building and Construction","20033","2003Q3","-","All building and construction","Base 2015=100","226.177970745465"
"BEQ04C01","Value of Production Index in Building and Construction","20033","2003Q3","11","Building (excluding civil engineering)","Base 2015=100","284.322183247792"
"BEQ04C01","Value of Production Index in Building and Construction","20033","2003Q3","111","Residential building","Base 2015=100","530.373583741029"
"BEQ04C01","Value of Production Index in Building and Construction","20033","2003Q3","112","Non-residential building","Base 2015=100","108.801722948082"
"BEQ04C01","Value of Production Index in Building and Construction","20033","2003Q3","12","Civil engineering","Base 2015=100","100.930159494411"
"BEQ04C01","Value of Production Index in Building and Construction","20034","2003Q4","-","All building and construction","Base 2015=100","233.092929640193"
"BEQ04C01","Value of Production Index in Building and Construction","20034","2003Q4","11","Building (excluding civil engineering)","Base 2015=100","294.353224950941"
"BEQ04C01","Value of Production Index in Building and Construction","20034","2003Q4","111","Residential building","Base 2015=100","552.741267802627"
"BEQ04C01","Value of Production Index in Building and Construction","20034","2003Q4","112","Non-residential building","Base 2015=100","109.949983021085"
"BEQ04C01","Value of Production Index in Building and Construction","20034","2003Q4","12","Civil engineering","Base 2015=100","101.995345488046"
"BEQ04C01","Value of Production Index in Building and Construction","20041","2004Q1","-","All building and construction","Base 2015=100","237.945161786829"
"BEQ04C01","Value of Production Index in Building and Construction","20041","2004Q1","11","Building (excluding civil engineering)","Base 2015=100","303.213988887259"
"BEQ04C01","Value of Production Index in Building and Construction","20041","2004Q1","111","Residential building","Base 2015=100","580.547758405582"
"BEQ04C01","Value of Production Index in Building and Construction","20041","2004Q1","112","Non-residential building","Base 2015=100","105.748305562215"
"BEQ04C01","Value of Production Index in Building and Construction","20041","2004Q1","12","Civil engineering","Base 2015=100","94.609819613647"
"BEQ04C01","Value of Production Index in Building and Construction","20042","2004Q2","-","All building and construction","Base 2015=100","266.74987313364"
"BEQ04C01","Value of Production Index in Building and Construction","20042","2004Q2","11","Building (excluding civil engineering)","Base 2015=100","337.612190719066"
"BEQ04C01","Value of Production Index in Building and Construction","20042","2004Q2","111","Residential building","Base 2015=100","650.115455006707"
"BEQ04C01","Value of Production Index in Building and Construction","20042","2004Q2","112","Non-residential building","Base 2015=100","115.122157470609"
"BEQ04C01","Value of Production Index in Building and Construction","20042","2004Q2","12","Civil engineering","Base 2015=100","111.17197785322"
"BEQ04C01","Value of Production Index in Building and Construction","20043","2004Q3","-","All building and construction","Base 2015=100","254.147598460311"
"BEQ04C01","Value of Production Index in Building and Construction","20043","2004Q3","11","Building (excluding civil engineering)","Base 2015=100","316.835449667276"
"BEQ04C01","Value of Production Index in Building and Construction","20043","2004Q3","111","Residential building","Base 2015=100","589.428221946443"
"BEQ04C01","Value of Production Index in Building and Construction","20043","2004Q3","112","Non-residential building","Base 2015=100","122.667284900791"
"BEQ04C01","Value of Production Index in Building and Construction","20043","2004Q3","12","Civil engineering","Base 2015=100","116.605642020413"
"BEQ04C01","Value of Production Index in Building and Construction","20044","2004Q4","-","All building and construction","Base 2015=100","252.436904943265"
