County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
01 - Alameda,9/30/2013,In Review,$50914315.00,45,Bay Area Counties
01 - Alameda,9/30/2013,Pending Construction,$840182510.04,126,Bay Area Counties
01 - Alameda,9/30/2013,In Construction,$994352932.29,181,Bay Area Counties
01 - Alameda,9/30/2013,In Closure,$65255928.88,81,Bay Area Counties
07 - Contra Costa,9/30/2013,In Review,$19067925.00,28,Bay Area Counties
07 - Contra Costa,9/30/2013,Pending Construction,$19570172.00,43,Bay Area Counties
07 - Contra Costa,9/30/2013,In Construction,$40655626.98,56,Bay Area Counties
07 - Contra Costa,9/30/2013,In Closure,$2110283.62,20,Bay Area Counties
09 - El Dorado,9/30/2013,In Review,$11759315.00,6,Greater Sacramento Counties
09 - El Dorado,9/30/2013,Pending Construction,$38333.00,2,Greater Sacramento Counties
09 - El Dorado,9/30/2013,In Construction,$12111964.00,5,Greater Sacramento Counties
09 - El Dorado,9/30/2013,In Closure,$23367713.00,4,Greater Sacramento Counties
19 - Los Angeles,9/30/2013,In Review,$578064315.85,439,Greater Los Angeles Counties
19 - Los Angeles,9/30/2013,Pending Construction,$236627856.22,564,Greater Los Angeles Counties
19 - Los Angeles,9/30/2013,In Construction,$2354038459.31,868,Greater Los Angeles Counties
19 - Los Angeles,9/30/2013,In Closure,$545909201.35,629,Greater Los Angeles Counties
21 - Marin,9/30/2013,In Review,$178957915.00,17,Bay Area Counties
21 - Marin,9/30/2013,Pending Construction,$44515860.00,9,Bay Area Counties
21 - Marin,9/30/2013,In Construction,$25456399.00,21,Bay Area Counties
21 - Marin,9/30/2013,In Closure,$6820196.00,18,Bay Area Counties
28 - Napa,9/30/2013,In Review,$820000.00,3,Bay Area Counties
28 - Napa,9/30/2013,Pending Construction,$12801298.00,8,Bay Area Counties
28 - Napa,9/30/2013,In Construction,$33627738.00,15,Bay Area Counties
28 - Napa,9/30/2013,In Closure,$49377790.00,22,Bay Area Counties
30 - Orange,9/30/2013,In Review,$83071242.66,99,Greater Los Angeles Counties
30 - Orange,9/30/2013,Pending Construction,$33919898.33,120,Greater Los Angeles Counties
30 - Orange,9/30/2013,In Construction,$285243379.13,132,Greater Los Angeles Counties
30 - Orange,9/30/2013,In Closure,$320392420.16,189,Greater Los Angeles Counties
31 - Placer,9/30/2013,In Review,$8772190.00,7,Greater Sacramento Counties
31 - Placer,9/30/2013,Pending Construction,$817754.00,5,Greater Sacramento Counties
31 - Placer,9/30/2013,In Construction,$56647157.80,18,Greater Sacramento Counties
31 - Placer,9/30/2013,In Closure,$76359994.61,16,Greater Sacramento Counties
34 - Sacramento,9/30/2013,In Review,$47476953.00,45,Greater Sacramento Counties
34 - Sacramento,9/30/2013,Pending Construction,$91730546.00,36,Greater Sacramento Counties
34 - Sacramento,9/30/2013,In Construction,$266665043.01,119,Greater Sacramento Counties
34 - Sacramento,9/30/2013,In Closure,$114055042.45,56,Greater Sacramento Counties
38 - San Francisco,9/30/2013,In Review,$945991053.98,64,Bay Area Counties
38 - San Francisco,9/30/2013,Pending Construction,$461799530.38,67,Bay Area Counties
38 - San Francisco,9/30/2013,In Construction,$1043690219.62,139,Bay Area Counties
38 - San Francisco,9/30/2013,In Closure,$291548199.61,102,Bay Area Counties
41 - San Mateo,9/30/2013,In Review,$77204622.16,30,Bay Area Counties
41 - San Mateo,9/30/2013,Pending Construction,$35796138.96,30,Bay Area Counties
41 - San Mateo,9/30/2013,In Construction,$330259579.94,72,Bay Area Counties
41 - San Mateo,9/30/2013,In Closure,$58061263.01,38,Bay Area Counties
43 - Santa Clara,9/30/2013,In Review,$762828738.97,81,Bay Area Counties
43 - Santa Clara,9/30/2013,Pending Construction,$179073014.20,71,Bay Area Counties
43 - Santa Clara,9/30/2013,In Construction,$770953886.43,168,Bay Area Counties
43 - Santa Clara,9/30/2013,In Closure,$88554637.09,140,Bay Area Counties
48 - Solano,9/30/2013,In Review,$3820069.00,13,Bay Area Counties
48 - Solano,9/30/2013,Pending Construction,$20238515.00,11,Bay Area Counties
48 - Solano,9/30/2013,In Construction,$30042209.13,29,Bay Area Counties
48 - Solano,9/30/2013,In Closure,$32478461.00,21,Bay Area Counties
49 - Sonoma,9/30/2013,In Review,$31381318.60,14,Bay Area Counties
49 - Sonoma,9/30/2013,Pending Construction,$6366395.00,23,Bay Area Counties
49 - Sonoma,9/30/2013,In Construction,$132698275.30,46,Bay Area Counties
49 - Sonoma,9/30/2013,In Closure,$33007256.61,19,Bay Area Counties
56 - Ventura,9/30/2013,In Review,$235193920.66,37,Greater Los Angeles Counties
56 - Ventura,9/30/2013,Pending Construction,$32239356.33,36,Greater Los Angeles Counties
56 - Ventura,9/30/2013,In Construction,$375405999.00,65,Greater Los Angeles Counties
56 - Ventura,9/30/2013,In Closure,$30228225.00,51,Greater Los Angeles Counties
57 - Yolo,9/30/2013,In Review,$683540.00,5,Greater Sacramento Counties
57 - Yolo,9/30/2013,Pending Construction,$584000.00,3,Greater Sacramento Counties
57 - Yolo,9/30/2013,In Construction,$1483044.00,7,Greater Sacramento Counties
57 - Yolo,9/30/2013,In Closure,$63505.00,3,Greater Sacramento Counties
01 - Alameda,10/8/2013,In Review,$50890315.00,44,Bay Area Counties
01 - Alameda,10/8/2013,Pending Construction,$840242543.36,125,Bay Area Counties
01 - Alameda,10/8/2013,In Construction,$994245713.95,181,Bay Area Counties
01 - Alameda,10/8/2013,In Closure,$65337613.88,82,Bay Area Counties
07 - Contra Costa,10/8/2013,In Review,$19079779.00,29,Bay Area Counties
07 - Contra Costa,10/8/2013,Pending Construction,$19570172.00,43,Bay Area Counties
07 - Contra Costa,10/8/2013,In Construction,$40655626.98,56,Bay Area Counties
07 - Contra Costa,10/8/2013,In Closure,$0.00,18,Bay Area Counties
09 - El Dorado,10/8/2013,In Review,$11759315.00,6,Greater Sacramento Counties
09 - El Dorado,10/8/2013,Pending Construction,$38333.00,2,Greater Sacramento Counties
09 - El Dorado,10/8/2013,In Construction,$12111964.00,5,Greater Sacramento Counties
09 - El Dorado,10/8/2013,In Closure,$23367713.00,4,Greater Sacramento Counties
19 - Los Angeles,10/8/2013,In Review,$545783590.05,434,Greater Los Angeles Counties
19 - Los Angeles,10/8/2013,Pending Construction,$239724225.82,568,Greater Los Angeles Counties
19 - Los Angeles,10/8/2013,In Construction,$2339840925.53,843,Greater Los Angeles Counties
19 - Los Angeles,10/8/2013,In Closure,$573078827.34,655,Greater Los Angeles Counties
21 - Marin,10/8/2013,In Review,$178957915.00,17,Bay Area Counties
21 - Marin,10/8/2013,Pending Construction,$44515860.00,9,Bay Area Counties
21 - Marin,10/8/2013,In Construction,$25456399.00,21,Bay Area Counties
21 - Marin,10/8/2013,In Closure,$5510444.00,12,Bay Area Counties
28 - Napa,10/8/2013,In Review,$875000.00,4,Bay Area Counties
28 - Napa,10/8/2013,Pending Construction,$12801298.00,8,Bay Area Counties
28 - Napa,10/8/2013,In Construction,$33159755.00,14,Bay Area Counties
28 - Napa,10/8/2013,In Closure,$50466031.00,20,Bay Area Counties
30 - Orange,10/8/2013,In Review,$83171304.66,98,Greater Los Angeles Counties
30 - Orange,10/8/2013,Pending Construction,$33930898.33,121,Greater Los Angeles Counties
30 - Orange,10/8/2013,In Construction,$285215772.13,133,Greater Los Angeles Counties
30 - Orange,10/8/2013,In Closure,$319888695.16,191,Greater Los Angeles Counties
31 - Placer,10/8/2013,In Review,$8897190.00,8,Greater Sacramento Counties
31 - Placer,10/8/2013,Pending Construction,$817754.00,5,Greater Sacramento Counties
31 - Placer,10/8/2013,In Construction,$56620358.80,17,Greater Sacramento Counties
31 - Placer,10/8/2013,In Closure,$76386793.61,17,Greater Sacramento Counties
